City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2022-04-03 04:05:14,41.3712,-73.414,41.94,69,0,0.0
1,Port Elizabeth,ZA,2022-04-03 04:08:13,-33.918,25.5701,65.1,99,100,4.0
2,Butaritari,KI,2022-04-03 04:08:14,3.0707,172.7902,81.93,77,25,15.79
3,Kapaa,US,2022-04-03 04:08:14,22.0752,-159.319,80.58,93,75,21.85
4,Santa Paula,US,2022-04-03 04:04:25,34.3542,-119.0593,60.24,80,100,4.61
5,Hermanus,ZA,2022-04-03 04:08:15,-34.4187,19.2345,57.79,85,15,10.18
6,Arraial Do Cabo,BR,2022-04-03 04:08:15,-22.9661,-42.0278,76.19,88,98,10.02
7,Coquimbo,CL,2022-04-03 04:08:16,-29.9533,-71.3436,53.33,93,20,3.44
8,Pisco,PE,2022-04-03 04:08:16,-13.7,-76.2167,66.25,82,82,6.91
9,Port Alfred,ZA,2022-04-03 04:05:07,-33.5906,26.891,64.18,96,100,5.01
10,Mataura,NZ,2022-04-03 04:08:17,-46.1927,168.8643,61.41,62,29,7.25
11,Almeria,ES,2022-04-03 04:08:17,37.1667,-2.3333,44.76,47,97,6.76
12,Semey,KZ,2022-04-03 04:08:18,50.4111,80.2275,44.82,76,0,6.71
13,Hobart,AU,2022-04-03 04:08:18,-42.8794,147.3294,62.26,71,75,8.05
14,Gat,IL,2022-04-03 04:06:01,31.61,34.7642,71.4,49,100,4.52
15,Shingu,JP,2022-04-03 04:08:18,33.7333,135.9833,52.56,87,100,9.69
16,Barrow,US,2022-04-03 04:05:01,71.2906,-156.7887,-5.78,71,75,18.41
17,New Norfolk,AU,2022-04-03 04:08:19,-42.7826,147.0587,61.92,51,35,3.91
18,Rocha,UY,2022-04-03 04:07:27,-34.4833,-54.3333,55.02,95,0,6.2
19,Llandrindod Wells,GB,2022-04-03 04:08:20,52.2416,-3.3787,32.94,86,39,2.44
20,Hobyo,SO,2022-04-03 04:08:20,5.3505,48.5268,81.84,70,36,12.21
21,College,US,2022-04-03 04:08:21,64.8569,-147.8028,22.59,78,75,10.36
22,Vaini,TO,2022-04-03 04:08:21,-21.2,-175.2,82.56,83,75,5.75
23,Luderitz,NA,2022-04-03 04:08:21,-26.6481,15.1594,57.06,86,1,8.08
24,Vrangel,RU,2022-04-03 04:08:22,42.7297,133.0839,42.15,72,3,6.26
25,Ushuaia,AR,2022-04-03 04:08:22,-54.8,-68.3,38.86,81,40,4.61
26,Eureka,US,2022-04-03 04:08:22,40.8021,-124.1637,48.92,85,1,5.99
27,Gazanjyk,TM,2022-04-03 04:08:23,39.2446,55.5154,74.39,20,0,2.39
28,Tasiilaq,GL,2022-04-03 04:08:23,65.6145,-37.6368,28.56,93,100,12.46
29,Ulagan,RU,2022-04-03 04:08:24,50.6321,87.9563,37.83,77,84,0.58
30,Lata,PT,2022-04-03 04:08:24,40.1629,-8.3327,37.89,59,31,4.41
31,Nelson Bay,AU,2022-04-03 04:08:24,-32.7167,152.15,75.09,55,100,13.2
32,Pevek,RU,2022-04-03 04:08:25,69.7008,170.3133,1.24,87,100,3.2
33,Saint-Philippe,RE,2022-04-03 04:08:25,-21.3585,55.7679,74.1,91,100,15.66
34,Lompoc,US,2022-04-03 04:07:15,34.6391,-120.4579,58.01,88,100,4.61
35,Rapid Valley,US,2022-04-03 04:08:26,44.0625,-103.1463,48.6,51,0,8.01
36,Caravelas,BR,2022-04-03 04:03:45,-17.7125,-39.2481,74.12,90,0,4.03
37,Kodinsk,RU,2022-04-03 04:08:27,58.6881,99.1844,25.72,73,56,10.22
38,Faanui,PF,2022-04-03 04:08:27,-16.4833,-151.75,82.45,69,16,2.91
39,Khatanga,RU,2022-04-03 04:08:27,71.9667,102.5,-1.12,93,100,8.99
40,Viedma,AR,2022-04-03 04:08:28,-40.8135,-62.9967,67.8,36,48,24.34
41,Tungor,RU,2022-04-03 04:08:28,53.3808,142.9564,35.64,95,45,7.67
42,Atuona,PF,2022-04-03 04:08:28,-9.8,-139.0333,79.75,75,21,18.92
43,Alpena,US,2022-04-03 04:08:29,45.0617,-83.4327,32.32,96,100,0.0
44,Bluff,NZ,2022-04-03 04:08:29,-46.6,168.3333,57.92,72,85,17.74
45,Smithers,CA,2022-04-03 04:04:21,54.7804,-127.1743,33.6,86,96,3.4
46,Kodiak,US,2022-04-03 04:09:30,57.79,-152.4072,36.91,75,40,0.0
47,Porbandar,IN,2022-04-03 04:09:30,21.6422,69.6093,82.74,54,2,5.97
48,Odweyne,SO,2022-04-03 04:09:30,9.4092,45.064,69.8,58,8,9.8
49,Ulaangom,MN,2022-04-03 04:09:31,49.9811,92.0667,22.78,89,99,3.36
50,Caucasia,CO,2022-04-03 04:09:31,7.9865,-75.1935,77.76,89,86,3.44
51,Hithadhoo,MV,2022-04-03 04:06:38,-0.6,73.0833,83.46,68,12,5.7
52,Sao Joao Da Barra,BR,2022-04-03 04:05:23,-21.6403,-41.0511,75.6,87,22,4.79
53,Rikitea,PF,2022-04-03 04:09:28,-23.1203,-134.9692,75.63,60,7,8.75
54,Ribeira Grande,PT,2022-04-03 04:09:34,38.5167,-28.7,59.49,77,99,22.44
55,Edd,ER,2022-04-03 04:09:34,13.9297,41.6925,87.51,31,0,12.01
56,Bol,TD,2022-04-03 04:09:34,13.4586,14.7147,81.36,34,100,13.15
57,Saskylakh,RU,2022-04-03 04:09:36,71.9167,114.0833,0.86,94,100,10.49
